x y u v
1.658 -1.263 -3.737 -0.819
2.026 -1.263 -4.570 -1.294
2.395 -1.263 -5.422 -1.769
2.763 -1.263 -6.290 -2.242
3.132 -1.263 -7.173 -2.717
3.500 -1.263 -8.081 -3.213
-3.500 -0.421 5.064 2.020
-3.132 -0.421 4.500 1.819
-2.763 -0.421 3.945 1.617
-2.395 -0.421 3.396 1.417
-2.026 -0.421 2.881 1.252
-1.658 -0.421 2.383 1.110
-1.289 -0.421 1.867 0.963
-0.921 -0.421 1.327 0.797
-0.553 -0.421 0.791 0.638
-0.184 -0.421 0.266 0.498
0.184 -0.421 -0.293 0.354
0.553 -0.421 -0.881 0.217
0.921 -0.421 -0.736 -0.370
1.289 -0.421 -1.943 -0.116
1.658 -0.421 -2.376 -0.260
2.026 -0.421 -2.864 -0.423
2.395 -0.421 -3.396 -0.593
2.763 -0.421 -3.974 -0.782
3.132 -0.421 -4.600 -1.000
3.500 -0.421 -5.274 -1.256
-3.500 0.421 1.841 -1.966
-3.132 0.421 1.697 -1.781
-2.763 0.421 1.550 -1.593
-2.395 0.421 1.380 -1.421
-2.026 0.421 1.180 -1.269
-1.658 0.421 0.956 -1.135
-1.289 0.421 0.743 -0.986
-0.921 0.421 0.540 -0.822
-0.553 0.421 0.316 -0.672
-0.184 0.421 0.101 -0.509
0.184 0.421 -0.105 -0.348
0.553 0.421 -0.340 -0.198
0.921 0.421 -0.620 -0.055
1.289 0.421 -0.374 0.191
1.658 0.421 -1.079 0.261
2.026 0.421 -1.223 0.439
2.395 0.421 -1.435 0.563
2.763 0.421 -1.732 0.631
3.132 0.421 -2.107 0.647
3.500 0.421 -2.547 0.620
-3.500 1.263 -1.134 -5.768
-3.132 1.263 -0.918 -5.241
-2.763 1.263 -0.759 -4.751
-2.395 1.263 -0.635 -4.281
-2.026 1.263 -0.530 -3.819
-1.658 1.263 -0.433 -3.358
-1.289 1.263 -0.340 -2.896
-0.921 1.263 -0.254 -2.438
-0.553 1.263 -0.150 -1.967
-0.184 1.263 -0.052 -1.507
0.184 1.263 0.059 -1.038
0.553 1.263 0.085 -0.604
0.921 1.263 -0.157 -0.175
1.289 1.263 -0.052 0.342
1.658 1.263 -0.345 0.272
2.026 1.263 -0.543 0.661
2.395 1.263 -0.664 1.095
2.763 1.263 -0.714 1.525
3.132 1.263 -0.709 1.922
3.500 1.263 -0.663 2.261
-3.500 2.105 -3.918 -9.453
-3.132 2.105 -3.475 -8.687
-2.763 2.105 -3.033 -7.911
-2.395 2.105 -2.611 -7.135
-2.026 2.105 -2.207 -6.360
-1.658 2.105 -1.809 -5.585
-1.289 2.105 -1.411 -4.809
-0.921 2.105 -1.012 -4.038
-0.553 2.105 -0.615 -3.272
-0.184 2.105 -0.213 -2.507
0.184 2.105 0.200 -1.733
0.553 2.105 0.615 -0.959
0.921 2.105 1.019 -0.183
1.289 2.105 1.433 0.434
1.658 2.105 1.874 0.457
2.026 2.105 2.487 0.794
2.395 2.105 3.083 1.150
2.763 2.105 -0.772 0.753
3.132 2.105 -1.086 1.357
3.500 2.105 -1.315 2.014
-3.500 2.947 -6.694 -13.113
-3.132 2.947 -6.022 -12.108
-2.763 2.947 -5.332 -11.067
-2.395 2.947 -4.619 -9.993
-2.026 2.947 -3.912 -8.918
-1.658 2.947 -3.202 -7.834
-1.289 2.947 -2.490 -6.747
-0.921 2.947 -1.781 -5.661
-0.553 2.947 -1.067 -4.572
-0.184 2.947 -0.356 -3.488
0.184 2.947 0.347 -2.416
0.553 2.947 1.047 -1.346
0.921 2.947 1.768 -0.258
1.289 2.947 2.486 0.836
1.658 2.947 3.402 1.462
2.026 2.947 4.343 2.358
2.395 2.947 5.341 2.820
2.763 2.947 6.249 2.988
3.132 2.947 7.093 3.586
3.500 2.947 7.834 4.038
-3.500 3.789 -9.424 -16.688
-3.132 3.789 -8.539 -15.453
-2.763 3.789 -7.615 -14.171
-2.395 3.789 -6.658 -12.853
-2.026 3.789 -5.639 -11.478
-1.658 3.789 -4.599 -10.079
-1.289 3.789 -3.570 -8.683
-0.921 3.789 -2.546 -7.283
-0.553 3.789 -1.531 -5.886
-0.184 3.789 -0.513 -4.485
0.184 3.789 0.512 -3.089
0.553 3.789 1.542 -1.702
0.921 3.789 2.558 -0.325
1.289 3.789 3.587 1.075
1.658 3.789 4.752 2.234
2.026 3.789 6.120 3.005
2.395 3.789 7.367 4.147
2.763 3.789 8.525 5.203
3.132 3.789 9.611 6.094
3.500 3.789 10.854 5.655
-3.500 4.632 -12.046 -20.120
-3.132 4.632 -10.979 -18.694
-2.763 4.632 -9.857 -17.210
-2.395 4.632 -8.633 -15.628
-2.026 4.632 -7.334 -13.980
